tmk9txt,viability_class,strict,lvpa
167001078,uncertain,True,65240.3848606648
167002009,,False,94248.66221106768
167002010,,False,102616.01884239542
171002004,,False,262250.20363061805
173007001,,False,3509.053446631711
173011002,,False,131997.91378270148
173019013,,False,1516478.015384646
174017001,,False,92974.95046765608
174018001,,False,1053056.9712846456
175011001,,False,631703.4853935076
175027010,,False,3948436.8607025775
176001001,,False,500631.62259782624
177001001,,False,45452.74166103327
177001002,,False,183535.26306020407
184002005,,False,45235.677290524814
184002007,,False,109950.25046050055
184002010,,False,2547572.1306938813
184002043,durable,True,30282.89706075809
184002048,durable,True,49685.530015312055
184002049,,False,2005013.55927776
184002050,durable,True,38061.89370717957
184002053,,False,30017.949612144082
184002054,,False,241528.68526793522
184002055,,False,34958.75858659958
184002056,,False,7439.187512330029
184002057,,False,7521.013773893805
184002058,durable,True,16883.88441703222
184002060,durable,True,18975.340657456898
184002062,,False,8003.557725448446
184002064,,False,3162027.2885733345
184002079,durable,True,31488.989292532267
184002080,,False,31069.67531119743
184002082,higher_value_development,True,3903163.3649526155
184020001,durable,True,28743.40132685168
184023025,uncertain,True,68638.60127673949
184029140,,False,6.971486464635367
184029150,,False,4770637.541188678
184030004,durable,True,16547.768979024197
184030008,uncertain,True,65851.3257388258
185001009,,False,32570.844778162464
185001060,,False,29953.699711376783
185001067,,False,177152.41290023376
185002011,,False,29980.23761639429
185002018,,False,30005.041096565674
185002044,,False,39650.054173715165
185002049,,False,30042.6240501511
185002052,durable,True,34129.686773797795
185003011,,False,86866.38342283705
185003030,uncertain,True,56836.70852739221
185015001,,False,30031.3958933619
185028042,,False,63161.42572731819
186001005,,False,1185463.1423015057
186001007,,False,52432.1416913611
186001011,,False,30625.285432779016
186001044,,False,443861.7948901265
187006003,durable,True,34064.3807827736
187007001,durable,True,29062.971934266025
187008026,durable,True,28938.834437379006
187008076,uncertain,True,140678.71911182906
187008077,,False,67675.28182475902
187009025,,False,28748.530869927345
187010002,,False,3519669.183593778
187010003,,False,81697.67273287216
187010020,durable,True,29835.530994458022
187010028,,False,2.5435948449009174
187016001,,False,30190.303749756775
187021026,durable,True,29786.57406146806
187021035,,False,452982.9231761461
187042159,durable,True,376858.92831123056
187049084,durable,True,859422.1639285719
189001002,,False,28547.648581296446
189001004,,False,668967.5912497136
189002001,,False,962289.5038326276
189002065,durable,True,147008.44495351295
189007004,,False,522962.90583184344
189007009,,False,36294.83947688097
191001001,,False,1477011.2227564396
191001002,,False,1400075.5808979243
191001003,,False,1496252.5676184804
191001007,,False,8675581.340796905
191001010,durable,True,1387814.5191725479
191001030,,False,81096.45569501552
191001031,,False,1044496.9680808096
191001032,,False,1095098.3886750566
191001033,,False,1573366.6237333692
191001034,,False,1651477.995262066
191010001,,False,1100511.4198918762
191012040,,False,8540061.477694746
191012060,,False,2057073.9095478717
191012081,durable,True,27142.00094040761
191013003,,False,291186.30232617067
191013004,higher_value_development,True,1192762.914828219
191013007,,False,918297.6107895742
191013014,,False,1375855.4638616263
191013016,,False,580109.1954955906
191013019,,False,946804.8652978109
191013020,,False,967872.0722818176
191013022,,False,1374819.15577514
191013023,,False,1548595.2962300668
191013024,durable,True,1526918.885749568
191013026,uncertain,True,221636.63500537007
191013027,durable,True,1443499.350033387
191013029,durable,True,217851.86565534602
191013030,,False,950886.0738976984
191013031,,False,989364.6307062117
191013032,,False,515379.19005278905
191013033,durable,True,1338398.532118519
191013038,durable,True,957025.7816555031
191013039,,False,954766.8209892187
191013040,durable,True,1340262.253184638
191013042,,False,1097674.1562864704
191013043,,False,683076.0055915015
191013044,,False,688777.8318228143
191013045,,False,1091795.5938886062
191013060,,False,924661.8207575169
191013061,durable,True,1151462.8334881566
191013063,,False,1112913.1248888697
191013067,durable,True,955259.5904728274
191013068,durable,True,968955.894427626
191013069,durable,True,986810.635748047
191013070,durable,True,33992.172189357756
191013071,,False,1044140.0049119091
191013072,,False,979347.4122382427
191013073,,False,943512.5348230471
191013074,,False,1048147.7993785593
191013075,,False,7.792715235947519
191013077,,False,1446449.702390571
191013081,higher_value_development,True,1486481.7319109319
191013082,,False,1396543.3486216718
191013093,,False,303228.9239397316
191013094,,False,1338517.9165461063
191013096,,False,216388.77171351583
191013099,,False,882576.1502711729
191013101,,False,986841.0480053254
191013110,,False,1100779.5051663164
191013111,,False,988258.0730934169
191013117,uncertain,True,2105899.6838939916
191013118,durable,True,130478.42576420995
191013119,durable,True,42484.767321283936
191013128,,False,1512198.0427672944
191013163,,False,68627.00213448107
191013164,,False,29982.67356353296
191014014,,False,1794037.0524557745
191014024,,False,1998166.7037531482
191014035,durable,True,43534.7334030384
191014039,,False,757026.407443436
191014044,durable,True,881421.574967543
191014048,uncertain,True,147120.97032490192
191014049,,False,723971.0882780097
191014063,higher_value_development,True,1307772.2442648388
191014095,higher_value_development,True,621890.781450318
191015005,higher_value_development,True,531.2093045774309
191015017,higher_value_development,True,880.0147407622436
191015026,,False,3617995.355432392
191015027,,False,2057703.4595092933
191015031,,False,3775463.6858024863
191015083,uncertain,True,209145.4819863703
