step,seg_km,cum_km,cum_acres_le30,cum_acres_le15,marginal_ac_per_km,segment_wkt,smoothed_ac_per_km
55,1.1,42.005,27755.9,24612.6,380.0,"LINESTRING (600828.8109639742 2361183.0420877915, 601928.8109639742 2361183.0420877915)",238.5
56,0.566,42.571,27975.7,24832.3,388.5,"LINESTRING (601928.8109639742 2361183.0420877915, 602328.8109639742 2360783.0420877915)",296.6
57,0.566,43.136,28141.7,24998.3,293.4,"LINESTRING (602328.8109639742 2360783.0420877915, 602728.8109639742 2360383.0420877915)",321.0
58,0.566,43.702,28305.9,25162.5,290.3,"LINESTRING (602728.8109639742 2360383.0420877915, 603128.8109639742 2359983.0420877915)",282.2
59,0.866,44.568,28524.7,25380.2,252.7,"LINESTRING (603128.8109639742 2359983.0420877915, 603128.8109639742 2359683.0420877915, 602728.8109639742 2359283.0420877915)",240.7
60,0.566,45.133,28629.9,25445.2,186.0,"LINESTRING (597028.8109639742 2374883.0420877915, 596628.8109639742 2374483.0420877915)",217.5
61,0.524,45.658,28724.7,25538.7,180.9,"LINESTRING (605428.8109639742 2362283.0420877915, 605428.8109639742 2362183.0420877915, 605728.8109639742 2361883.0420877915)",193.7
62,0.5,46.158,28813.6,25618.9,177.7,"LINESTRING (598028.8109639742 2390383.0420877915, 598528.8109639742 2390383.0420877915)",179.8
63,1.09,47.248,29000.4,25737.5,171.3,"LINESTRING (600428.8109639742 2397783.0420877915, 601228.8109639742 2397083.0420877915)",174.2
64,0.624,47.872,29114.6,25812.8,182.9,"LINESTRING (601228.8109639742 2397083.0420877915, 601428.8109639742 2396883.0420877915, 601328.8109639742 2396783.0420877915, 601328.8109639742 2396583.0420877915)",177.4
65,1.124,48.996,29292.6,25972.0,158.3,"LINESTRING (597728.8109639742 2388683.0420877915, 598428.8109639742 2388683.0420877915, 598728.8109639742 2388383.0420877915)",175.7
66,0.666,49.662,29423.6,26094.5,196.8,"LINESTRING (598728.8109639742 2388383.0420877915, 598928.8109639742 2388183.0420877915, 599028.8109639742 2388183.0420877915, 599228.8109639742 2388383.0420877915)",174.5
67,0.483,50.145,29505.3,26173.5,169.1,"LINESTRING (598928.8109639742 2373483.0420877915, 599128.8109639742 2373483.0420877915, 599328.8109639742 2373283.0420877915)",170.8
68,0.666,50.81,29615.3,26251.1,165.3,"LINESTRING (596528.8109639742 2369283.0420877915, 596528.8109639742 2369183.0420877915, 596128.8109639742 2368783.0420877915)",171.8
69,0.883,51.693,29760.5,26320.4,164.4,"LINESTRING (609728.8109639742 2394483.0420877915, 609628.8109639742 2394483.0420877915, 609428.8109639742 2394283.0420877915, 608928.8109639742 2394283.0420877915)",162.1
70,0.583,52.276,29855.9,26411.5,163.6,"LINESTRING (603228.8109639742 2381483.0420877915, 603728.8109639742 2381283.0420877915)",154.9
71,0.6,52.876,29944.7,26429.8,148.0,"LINESTRING (593528.8109639742 2378983.0420877915, 593528.8109639742 2379583.0420877915)",156.6
72,1.09,53.966,30090.0,26548.3,133.3,"LINESTRING (609728.8109639742 2394483.0420877915, 609828.8109639742 2394283.0420877915, 610428.8109639742 2393683.0420877915)",160.5
