tmk_or_site,type,acres_total,acres_le15,acres_le30,dist_46kv_km,dist_138kv_km,owner,land_value_per_ac,viability_class,low_improvement_flag,notes,source
116024041,urban_parcel,14.6,14.6,14.6,0.19,0.19,BISHOP MUSEUM,3872587.0,,False,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
117029003,urban_parcel,14.8,14.8,14.8,0.0,0.0,HAWAII PUBLIC HOUSING AUTHORITY,6058471.0,uncertain,True,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
118001001,urban_parcel,15.2,15.1,15.1,0.94,0.94,OAHU CEMETERY ASSOCIATION,1428526.0,,False,owner suggests cemetery; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
119005003,urban_parcel,16.1,2.3,10.2,3.64,3.64,WOODLANDS AT NUUANU,2069599.0,,False,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
119006001,urban_parcel,124.6,77.1,120.3,2.08,2.08,OAHU COUNTRY CLUB,112320.0,,False,owner suggests golf; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
121015009,urban_parcel,46.8,46.7,46.7,1.63,1.63,S OF H DOT HARBORS DIV,10495069.0,,True,owner suggests harbor; Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
121025002,urban_parcel,10.9,10.9,10.9,1.3,1.3,STATE OF HAWAII,9053275.0,uncertain,True,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
121033010,urban_parcel,10.3,9.4,10.3,1.67,1.67,CITY AND COUNTY OF HONOLULU,16972433.0,,True,Public-County; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
121035003,urban_parcel,10.9,10.6,10.8,1.45,1.45,QUEEN'S MEDICAL CENTER THE,7945427.0,,False,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
121044003,urban_parcel,10.8,10.8,10.8,2.07,2.07,HAWAIIAN ELECTRIC CO INC,9885795.0,,False,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
