tmk,parcel_acres,slope_0_5,slope_5_10,slope_10_15,slope_15_20,slope_20_25,slope_25_30,slope_gt30
151007003,19.83,0.0,0.049,0.346,1.161,1.112,1.458,15.889
151008002,22.169,3.138,4.967,4.917,4.151,2.965,1.384,0.667
151008004,3.801,0.0,0.198,1.211,1.557,0.618,0.124,0.025
151008006,3.425,0.0,0.148,0.148,0.667,0.247,0.222,1.927
151008007,25.206,5.436,3.583,4.769,6.622,2.422,1.137,1.31
151009001,1.856,0.593,0.173,0.939,0.247,0.0,0.0,0.0
151009002,1.007,0.42,0.049,0.272,0.222,0.074,0.0,0.0
151009003,0.516,0.0,0.0,0.297,0.222,0.0,0.0,0.0
151009004,0.628,0.618,0.049,0.0,0.0,0.0,0.0,0.0
151009005,0.058,0.049,0.025,0.0,0.0,0.0,0.0,0.0
151009006,0.251,0.247,0.0,0.0,0.0,0.0,0.0,0.0
151009008,1.152,1.112,0.025,0.0,0.0,0.0,0.0,0.0
151009039,0.167,0.173,0.025,0.0,0.0,0.0,0.0,0.0
151009041,0.331,0.321,0.0,0.0,0.0,0.0,0.0,0.0
151010001,0.55,0.321,0.148,0.049,0.025,0.0,0.0,0.0
151010032,1.788,1.804,0.0,0.0,0.0,0.0,0.0,0.0
151010033,0.277,0.297,0.0,0.0,0.0,0.0,0.0,0.0
151010034,0.276,0.272,0.0,0.0,0.0,0.0,0.0,0.0
151010035,0.274,0.297,0.0,0.0,0.0,0.0,0.0,0.0
151010036,0.268,0.272,0.0,0.0,0.0,0.0,0.0,0.0
151010037,0.27,0.272,0.0,0.0,0.0,0.0,0.0,0.0
151010038,0.278,0.247,0.0,0.0,0.0,0.0,0.0,0.0
151010039,0.271,0.297,0.0,0.0,0.0,0.0,0.0,0.0
151010040,0.267,0.297,0.0,0.0,0.0,0.0,0.0,0.0
151010041,0.268,0.247,0.0,0.0,0.0,0.0,0.0,0.0
151010042,0.323,0.321,0.0,0.0,0.0,0.0,0.0,0.0
151010043,0.331,0.297,0.0,0.0,0.0,0.0,0.0,0.0
151013001,1.441,1.334,0.148,0.0,0.0,0.0,0.0,0.0
151013003,0.37,0.371,0.025,0.0,0.0,0.0,0.0,0.0
151013004,0.34,0.346,0.0,0.0,0.0,0.0,0.0,0.0
151013005,0.321,0.297,0.0,0.0,0.0,0.0,0.0,0.0
151013006,0.302,0.321,0.0,0.0,0.0,0.0,0.0,0.0
151013009,0.276,0.297,0.0,0.0,0.0,0.0,0.0,0.0
151013012,1.071,0.939,0.124,0.0,0.0,0.0,0.0,0.0
151013013,0.203,0.173,0.049,0.0,0.0,0.0,0.0,0.0
152002001,1176.433,287.705,86.833,69.362,65.705,67.336,67.534,532.191
153001041,44.603,24.117,2.693,1.656,2.693,5.733,5.09,2.866
153002001,2.744,1.236,0.445,0.42,0.198,0.173,0.148,0.124
153002002,0.6,0.642,0.0,0.0,0.0,0.0,0.0,0.0
153002003,0.421,0.395,0.0,0.0,0.0,0.0,0.0,0.0
153002004,0.328,0.346,0.0,0.0,0.0,0.0,0.0,0.0
153002005,0.278,0.297,0.0,0.0,0.0,0.0,0.0,0.0
153002007,0.674,0.618,0.049,0.0,0.0,0.0,0.0,0.0
153002008,0.558,0.544,0.0,0.0,0.0,0.0,0.0,0.0
153002020,2.514,2.175,0.346,0.0,0.0,0.0,0.0,0.0
153002027,0.132,0.148,0.0,0.0,0.0,0.0,0.0,0.0
153002039,0.168,0.198,0.0,0.0,0.0,0.0,0.0,0.0
153002062,1.69,0.84,0.445,0.173,0.049,0.049,0.049,0.124
153002063,1.853,1.829,0.0,0.0,0.0,0.0,0.0,0.0
153002071,0.433,0.42,0.0,0.0,0.0,0.0,0.0,0.0
153003001,556.301,104.674,31.827,18.978,17.347,18.236,21.251,343.575
153003005,3.376,2.397,0.914,0.099,0.0,0.0,0.0,0.0
153003009,4.287,2.002,1.186,0.494,0.198,0.148,0.049,0.173
153004001,1.386,1.359,0.099,0.0,0.0,0.0,0.0,0.0
153004002,9.887,9.464,0.272,0.074,0.0,0.0,0.0,0.0
153004005,0.381,0.346,0.074,0.0,0.0,0.0,0.0,0.0
153004006,1.36,0.89,0.371,0.074,0.025,0.0,0.0,0.0
153004007,5.305,4.423,0.346,0.346,0.173,0.0,0.0,0.0
153004008,0.886,0.544,0.148,0.025,0.124,0.0,0.0,0.0
153004009,1.005,0.717,0.247,0.148,0.0,0.0,0.0,0.0
153004010,0.534,0.494,0.025,0.0,0.0,0.0,0.0,0.0
153004012,1.266,1.26,0.0,0.0,0.0,0.0,0.0,0.0
153004013,0.183,0.222,0.0,0.0,0.0,0.0,0.0,0.0
153004016,2.074,2.051,0.0,0.0,0.0,0.0,0.0,0.0
153004017,6.821,4.621,1.68,0.494,0.0,0.0,0.0,0.0
153004018,25.064,24.019,1.038,0.0,0.0,0.0,0.0,0.0
153004019,0.943,0.914,0.0,0.0,0.0,0.0,0.0,0.0
153004028,1.996,1.705,0.297,0.0,0.0,0.0,0.0,0.0
153004029,1.602,0.791,0.519,0.222,0.049,0.0,0.0,0.0
153004032,0.021,0.025,0.0,0.0,0.0,0.0,0.0,0.0
153004034,0.555,0.519,0.0,0.0,0.0,0.0,0.0,0.0
153004035,0.223,0.049,0.124,0.049,0.0,0.0,0.0,0.0
153004036,0.623,0.395,0.222,0.0,0.0,0.0,0.0,0.0
153004038,5.97,5.98,0.0,0.0,0.0,0.0,0.0,0.0
153004039,1.993,1.186,0.692,0.074,0.0,0.0,0.0,0.0
153005002,0.428,0.395,0.025,0.0,0.0,0.0,0.0,0.0
153005003,0.785,0.815,0.0,0.0,0.0,0.0,0.0,0.0
153005004,0.434,0.445,0.0,0.0,0.0,0.0,0.0,0.0
153005005,2.874,2.768,0.099,0.0,0.0,0.0,0.0,0.0
153005006,2.846,2.866,0.0,0.0,0.0,0.0,0.0,0.0
153005007,49.893,44.232,4.497,1.236,0.099,0.0,0.0,0.0
153005008,0.496,0.0,0.099,0.272,0.148,0.0,0.0,0.0
153005009,0.601,0.173,0.222,0.124,0.049,0.0,0.0,0.0
153005010,1.237,0.099,0.692,0.321,0.124,0.0,0.0,0.0
153005011,0.998,0.0,0.099,0.47,0.222,0.173,0.0,0.0
153005012,0.101,0.0,0.0,0.049,0.049,0.0,0.0,0.0
153005013,0.124,0.0,0.124,0.0,0.0,0.0,0.0,0.0
153005014,0.875,0.0,0.0,0.222,0.222,0.222,0.025,0.124
153005016,0.896,0.0,0.148,0.346,0.346,0.025,0.0,0.0
153005017,0.613,0.0,0.124,0.247,0.124,0.099,0.0,0.0
153005019,0.974,0.0,0.272,0.692,0.0,0.0,0.0,0.0
153005020,0.424,0.222,0.173,0.0,0.0,0.0,0.0,0.0
153005021,0.58,0.346,0.272,0.0,0.0,0.0,0.0,0.0
153005022,0.649,0.618,0.0,0.0,0.0,0.0,0.0,0.0
153005023,0.304,0.297,0.0,0.0,0.0,0.0,0.0,0.0
153005024,0.153,0.148,0.0,0.0,0.0,0.0,0.0,0.0
153005025,0.78,0.766,0.0,0.0,0.0,0.0,0.0,0.0
153005026,0.152,0.148,0.0,0.0,0.0,0.0,0.0,0.0
153005027,0.232,0.247,0.0,0.0,0.0,0.0,0.0,0.0
153005036,0.269,0.247,0.0,0.0,0.0,0.0,0.0,0.0
153005037,1.109,1.137,0.0,0.0,0.0,0.0,0.0,0.0
153005039,1.298,0.0,0.0,0.148,0.568,0.272,0.049,0.247
153005040,0.132,0.124,0.0,0.0,0.0,0.0,0.0,0.0
153005042,0.266,0.247,0.0,0.0,0.0,0.0,0.0,0.0
153005045,9.176,0.0,1.137,1.161,1.656,2.224,0.84,2.249
153005049,0.147,0.148,0.0,0.0,0.0,0.0,0.0,0.0
153005050,1.685,0.0,0.099,0.544,0.42,0.247,0.198,0.148
153005051,0.93,0.0,0.346,0.371,0.222,0.0,0.0,0.0
153005052,0.23,0.198,0.0,0.0,0.0,0.0,0.0,0.0
153005053,0.138,0.124,0.0,0.0,0.0,0.0,0.0,0.0
153005054,1.151,1.137,0.0,0.0,0.0,0.0,0.0,0.0
153005055,1.393,1.384,0.0,0.0,0.0,0.0,0.0,0.0
153005056,0.326,0.321,0.0,0.0,0.0,0.0,0.0,0.0
153005057,1.155,0.0,0.124,0.445,0.099,0.099,0.148,0.272
153005058,1.156,0.618,0.544,0.025,0.0,0.0,0.0,0.0
153005059,0.226,0.0,0.124,0.099,0.0,0.0,0.0,0.0
153005060,0.834,0.0,0.025,0.445,0.198,0.124,0.0,0.049
153005061,0.158,0.0,0.049,0.074,0.0,0.0,0.0,0.0
153005062,0.052,0.0,0.0,0.049,0.0,0.0,0.0,0.0
153005063,0.301,0.247,0.0,0.0,0.0,0.0,0.0,0.0
153005068,0.179,0.222,0.0,0.0,0.0,0.0,0.0,0.0
153005069,0.419,0.445,0.0,0.0,0.0,0.0,0.0,0.0
153005070,4.768,4.794,0.0,0.0,0.0,0.0,0.0,0.0
153006001,0.221,0.198,0.0,0.0,0.0,0.0,0.0,0.0
153006003,0.516,0.568,0.0,0.0,0.0,0.0,0.0,0.0
153006004,4.6,4.522,0.0,0.0,0.0,0.0,0.0,0.0
153006005,7.793,7.734,0.099,0.0,0.0,0.0,0.0,0.0
153006006,1.378,0.445,0.766,0.173,0.0,0.0,0.0,0.0
153006007,0.086,0.025,0.074,0.0,0.0,0.0,0.0,0.0
153006008,4.645,0.0,1.606,1.063,0.519,0.445,0.445,0.593
153006010,1.612,0.0,0.519,0.914,0.099,0.049,0.0,0.0
153006011,1.613,0.049,0.741,0.667,0.074,0.074,0.0,0.0
153006012,0.325,0.0,0.321,0.0,0.0,0.0,0.0,0.0
153006013,2.223,0.0,0.939,1.186,0.099,0.0,0.0,0.0
153006014,8.574,7.932,0.173,0.124,0.124,0.049,0.0,0.0
153006015,2.449,2.1,0.371,0.0,0.0,0.0,0.0,0.0
153006016,6.912,5.98,0.815,0.099,0.025,0.0,0.0,0.0
153006031,1.738,1.73,0.0,0.0,0.0,0.0,0.0,0.0
153006033,0.079,0.0,0.049,0.0,0.0,0.0,0.0,0.0
153006034,1.516,1.483,0.0,0.0,0.0,0.0,0.0,0.0
153006035,0.902,0.939,0.0,0.0,0.0,0.0,0.0,0.0
153006038,0.514,0.544,0.0,0.0,0.0,0.0,0.0,0.0
153006047,0.079,0.099,0.0,0.0,0.0,0.0,0.0,0.0
153006049,1.603,1.581,0.0,0.0,0.0,0.0,0.0,0.0
153006050,0.801,0.766,0.0,0.0,0.0,0.0,0.0,0.0
153006058,0.893,0.0,0.346,0.47,0.074,0.0,0.0,0.0
153006059,0.044,0.0,0.0,0.0,0.0,0.0,0.025,0.0
153006061,0.1,0.099,0.0,0.0,0.0,0.0,0.0,0.0
153006064,4.1,4.102,0.0,0.0,0.0,0.0,0.0,0.0
153006065,0.583,0.593,0.0,0.0,0.0,0.0,0.0,0.0
153006070,0.319,0.321,0.0,0.0,0.0,0.0,0.0,0.0
153006074,2.652,0.0,0.0,0.025,0.173,0.42,0.42,1.606
153006075,0.349,0.0,0.0,0.0,0.0,0.0,0.025,0.321
153006076,2.622,0.0,0.148,0.198,0.568,0.964,0.791,0.049
153006077,0.142,0.0,0.0,0.0,0.0,0.0,0.074,0.049
153006080,0.156,0.049,0.124,0.0,0.0,0.0,0.0,0.0
153006081,0.298,0.0,0.124,0.124,0.074,0.0,0.0,0.0
153006082,1.02,0.766,0.099,0.099,0.025,0.0,0.0,0.0
153007007,39.675,12.578,11.96,7.611,3.583,1.927,1.137,1.063
153007008,50.978,0.025,0.0,0.074,0.025,0.247,0.42,50.138
153007009,1.328,0.0,0.025,0.0,0.0,0.0,0.0,1.31
153007010,1.306,0.0,0.0,0.025,0.0,0.025,0.025,1.211
153007011,2.542,0.0,0.0,0.099,0.173,0.297,0.074,1.927
153007012,1.1,0.0,0.025,0.568,0.346,0.198,0.0,0.0
153007013,16.853,1.952,9.168,1.754,0.89,0.593,0.445,2.026
153007014,1.963,1.112,0.84,0.0,0.0,0.0,0.0,0.0
153007015,1.908,1.458,0.47,0.0,0.0,0.0,0.0,0.0
153007016,4.038,2.792,1.236,0.0,0.0,0.0,0.0,0.0
153007018,1.241,0.124,0.84,0.173,0.049,0.074,0.0,0.0
153007020,38.899,9.464,6.054,5.832,5.98,4.201,2.323,5.214
153007021,96.245,0.0,0.148,0.642,1.384,3.608,4.893,85.573
153007022,7.347,0.0,0.0,0.0,0.0,0.025,0.0,7.314
153007023,143.799,10.304,17.421,15.494,13.368,11.243,12.8,63.234
153007024,3.579,0.0,0.099,0.025,0.124,0.741,0.717,1.779
153007025,2.166,0.0,0.0,0.074,0.124,0.321,0.395,1.186
153008016,0.191,0.247,0.0,0.0,0.0,0.0,0.0,0.0
153008022,0.214,0.222,0.0,0.0,0.0,0.0,0.0,0.0
153008025,0.188,0.198,0.0,0.0,0.0,0.0,0.0,0.0
153008026,0.197,0.222,0.0,0.0,0.0,0.0,0.0,0.0
153008027,0.124,0.124,0.0,0.0,0.0,0.0,0.0,0.0
153008029,0.118,0.099,0.0,0.0,0.0,0.0,0.0,0.0
153009003,12.368,0.0,0.124,0.741,2.397,3.756,3.608,1.903
153009004,0.264,0.0,0.0,0.173,0.049,0.025,0.0,0.0
153009006,0.135,0.099,0.049,0.0,0.0,0.0,0.0,0.0
153009008,0.274,0.173,0.099,0.0,0.0,0.0,0.0,0.0
153009009,0.354,0.371,0.0,0.0,0.0,0.0,0.0,0.0
153009010,0.191,0.198,0.0,0.0,0.0,0.0,0.0,0.0
153009019,1.994,1.878,0.074,0.0,0.0,0.0,0.0,0.0
153009022,16.697,0.0,0.0,0.0,0.025,0.297,0.791,15.617
153009023,39.402,35.188,3.435,0.741,0.321,0.0,0.0,0.0
153009024,4.542,4.522,0.0,0.0,0.0,0.0,0.0,0.0
153009025,0.253,0.0,0.049,0.198,0.025,0.0,0.0,0.0
153009030,0.146,0.148,0.0,0.0,0.0,0.0,0.0,0.0
153009050,1.348,1.26,0.049,0.0,0.0,0.0,0.0,0.0
153009057,0.121,0.099,0.0,0.0,0.0,0.0,0.0,0.0
153009058,7.989,0.988,2.397,2.891,1.038,0.247,0.124,0.272
153009066,1.941,1.483,0.47,0.0,0.0,0.0,0.0,0.0
153009067,5.991,4.942,1.063,0.0,0.0,0.0,0.0,0.0
153009068,6.477,6.499,0.049,0.0,0.0,0.0,0.0,0.0
153009069,5.044,4.744,0.321,0.0,0.0,0.0,0.0,0.0
153009070,5.964,4.621,1.285,0.025,0.0,0.0,0.0,0.0
153009071,4.739,4.769,0.0,0.0,0.0,0.0,0.0,0.0
153009072,5.414,4.893,0.519,0.0,0.0,0.0,0.0,0.0
153009073,5.439,4.769,0.593,0.049,0.0,0.0,0.0,0.0
153009074,5.38,4.473,0.89,0.0,0.0,0.0,0.0,0.0
153009075,4.527,3.163,1.211,0.124,0.0,0.0,0.0,0.0
153009076,4.671,3.163,1.507,0.0,0.0,0.0,0.0,0.0
153009077,5.284,2.916,2.051,0.321,0.049,0.0,0.0,0.0
153009078,5.203,2.669,2.422,0.099,0.0,0.0,0.0,0.0
153009079,5.242,2.99,1.878,0.371,0.0,0.0,0.0,0.0
153009080,5.771,4.226,0.84,0.222,0.198,0.124,0.124,0.025
153009081,5.672,4.201,0.89,0.148,0.148,0.124,0.099,0.074
153009082,5.698,4.398,1.137,0.148,0.0,0.0,0.0,0.0
153009083,5.684,5.239,0.395,0.049,0.0,0.0,0.0,0.0
153009084,6.14,5.461,0.173,0.124,0.074,0.247,0.074,0.0
153009085,6.36,4.102,1.137,0.494,0.173,0.074,0.198,0.198
153009086,6.537,3.064,1.903,0.371,0.371,0.173,0.371,0.247
153009087,6.387,1.236,1.656,2.298,0.791,0.247,0.099,0.0
153009088,4.376,3.509,0.84,0.025,0.0,0.0,0.0,0.0
153009089,4.566,3.805,0.692,0.099,0.0,0.0,0.0,0.0
153009090,5.37,4.917,0.395,0.025,0.0,0.0,0.0,0.0
153009091,5.35,5.09,0.297,0.0,0.0,0.0,0.0,0.0
153009092,5.332,4.769,0.445,0.0,0.0,0.0,0.0,0.0
153009093,4.888,3.583,1.137,0.148,0.0,0.0,0.0,0.0
153009094,3.571,3.262,0.321,0.0,0.0,0.0,0.0,0.0
153009095,5.452,4.695,0.47,0.247,0.025,0.0,0.0,0.0
153009096,4.859,4.176,0.618,0.025,0.0,0.0,0.0,0.0
153009097,5.025,4.695,0.395,0.0,0.0,0.0,0.0,0.0
153009098,5.147,5.066,0.0,0.0,0.0,0.0,0.0,0.0
153009099,6.959,6.746,0.173,0.0,0.0,0.0,0.0,0.0
153009100,7.253,7.24,0.0,0.0,0.0,0.0,0.0,0.0
153009101,5.296,4.942,0.395,0.0,0.0,0.0,0.0,0.0
153009106,0.156,0.198,0.0,0.0,0.0,0.0,0.0,0.0
153011001,2902.626,13.22,41.637,75.911,119.006,135.068,135.908,2382.269
153011006,74.769,0.0,0.0,0.074,0.222,0.568,1.285,72.476
153011009,1372.108,58.712,32.84,41.069,41.637,54.067,60.244,1083.409
153011010,0.252,0.0,0.099,0.099,0.049,0.0,0.0,0.0
153011011,0.021,0.0,0.0,0.025,0.0,0.0,0.0,0.0
153011012,0.444,0.445,0.0,0.0,0.0,0.0,0.0,0.0
153011013,0.094,0.0,0.0,0.0,0.0,0.049,0.025,0.0
153012001,83.913,62.691,10.922,6.128,2.817,1.013,0.124,0.0
153012010,84.404,0.0,0.025,1.557,4.151,6.104,4.324,68.226
153012041,1.933,1.161,0.642,0.346,0.0,0.0,0.0,0.0
153012044,89.991,0.42,2.768,3.509,6.301,2.891,3.237,70.993
153013001,0.266,0.272,0.0,0.0,0.0,0.0,0.0,0.0
153013002,1.345,1.384,0.0,0.0,0.0,0.0,0.0,0.0
153013018,0.282,0.297,0.0,0.0,0.0,0.0,0.0,0.0
153013019,0.358,0.371,0.0,0.0,0.0,0.0,0.0,0.0
153013020,0.5,0.47,0.0,0.0,0.0,0.0,0.0,0.0
153013040,1.454,1.433,0.0,0.0,0.0,0.0,0.0,0.0
153014007,0.402,0.395,0.0,0.0,0.0,0.0,0.0,0.0
153014020,1.322,1.285,0.0,0.0,0.0,0.0,0.0,0.0
153014022,0.944,0.939,0.0,0.0,0.0,0.0,0.0,0.0
153014028,0.345,0.346,0.0,0.0,0.0,0.0,0.0,0.0
153014029,0.252,0.222,0.0,0.0,0.0,0.0,0.0,0.0
153014030,0.238,0.247,0.0,0.0,0.0,0.0,0.0,0.0
153014031,0.296,0.297,0.0,0.0,0.0,0.0,0.0,0.0
153014032,0.208,0.247,0.0,0.0,0.0,0.0,0.0,0.0
153014033,0.205,0.198,0.0,0.0,0.0,0.0,0.0,0.0
153014034,0.195,0.173,0.0,0.0,0.0,0.0,0.0,0.0
153014035,0.203,0.222,0.0,0.0,0.0,0.0,0.0,0.0
153014036,0.2,0.173,0.0,0.0,0.0,0.0,0.0,0.0
153014056,0.243,0.272,0.0,0.0,0.0,0.0,0.0,0.0
153015009,1.02,0.988,0.049,0.0,0.0,0.0,0.0,0.0
153015016,1.009,0.988,0.0,0.0,0.0,0.0,0.0,0.0
153015017,1.008,0.865,0.148,0.0,0.0,0.0,0.0,0.0
153015018,1.0,0.642,0.321,0.0,0.0,0.0,0.0,0.0
153015019,1.042,0.173,0.494,0.272,0.124,0.0,0.0,0.0
153016002,10.437,10.453,0.0,0.0,0.0,0.0,0.0,0.0
153016030,0.21,0.222,0.0,0.0,0.0,0.0,0.0,0.0
153016031,0.21,0.222,0.0,0.0,0.0,0.0,0.0,0.0
153016032,0.208,0.198,0.0,0.0,0.0,0.0,0.0,0.0
154004002,18.598,5.931,4.72,2.743,1.927,1.483,1.013,0.741
154004003,76.966,4.769,4.547,2.273,1.903,1.754,1.977,59.849
154004004,138.763,0.964,2.026,1.73,2.1,2.693,3.657,125.455
154004020,7.338,5.362,1.359,0.297,0.148,0.099,0.049,0.025
154004021,12.778,7.24,2.348,0.815,0.717,0.914,0.568,0.173
154004024,1.141,0.124,0.148,0.124,0.395,0.198,0.173,0.0
154005001,151.67,2.422,4.819,3.385,2.817,2.842,4.226,131.139
154005011,5.152,0.618,1.211,0.346,0.445,0.321,0.395,1.804
154006001,2086.209,2.792,11.392,18.286,27.725,38.944,49.248,1937.702
154011004,0.446,0.247,0.124,0.049,0.0,0.0,0.0,0.0
154011042,0.848,0.914,0.049,0.0,0.0,0.0,0.0,0.0
154018001,0.199,0.025,0.074,0.074,0.0,0.0,0.0,0.0
154018002,0.287,0.074,0.074,0.148,0.0,0.0,0.0,0.0
154018015,0.116,0.124,0.0,0.0,0.0,0.0,0.0,0.0
154018016,0.109,0.074,0.049,0.0,0.0,0.0,0.0,0.0
154018017,0.125,0.099,0.025,0.0,0.0,0.0,0.0,0.0
154018019,0.175,0.099,0.099,0.0,0.0,0.0,0.0,0.0
154018020,0.193,0.148,0.049,0.0,0.0,0.0,0.0,0.0
154018032,0.139,0.099,0.049,0.0,0.0,0.0,0.0,0.0
154018033,0.166,0.099,0.049,0.0,0.0,0.0,0.0,0.0
154018036,0.17,0.173,0.049,0.0,0.0,0.0,0.0,0.0
154018038,0.404,0.272,0.124,0.0,0.0,0.0,0.0,0.0
154018041,0.156,0.0,0.173,0.0,0.0,0.0,0.0,0.0
154018043,0.126,0.049,0.049,0.0,0.0,0.0,0.0,0.0
154018060,3.97,1.903,0.939,0.445,0.321,0.148,0.074,0.124
154018062,5.852,2.496,1.977,0.865,0.247,0.222,0.099,0.0
154019008,0.156,0.0,0.049,0.099,0.0,0.0,0.0,0.0
154019009,0.154,0.0,0.025,0.099,0.049,0.0,0.0,0.0
154019010,0.136,0.0,0.074,0.049,0.025,0.0,0.0,0.0
154019051,7.478,0.395,0.988,1.557,1.927,1.458,0.914,0.272
154019054,7.98,0.395,1.137,1.977,2.842,0.667,0.272,0.692
155001002,14.002,7.858,2.52,2.051,0.766,0.395,0.247,0.148
155001003,0.245,0.222,0.0,0.0,0.0,0.0,0.0,0.0
155001005,0.223,0.247,0.0,0.0,0.0,0.0,0.0,0.0
155001007,2.622,1.211,0.939,0.445,0.074,0.0,0.0,0.0
155001008,0.224,0.222,0.0,0.0,0.0,0.0,0.0,0.0
155001012,0.834,0.618,0.173,0.049,0.0,0.0,0.0,0.0
155001013,0.393,0.297,0.099,0.0,0.0,0.0,0.0,0.0
155001014,1.775,1.137,0.568,0.0,0.0,0.0,0.0,0.0
155001015,0.327,0.395,0.049,0.0,0.0,0.0,0.0,0.0
155001016,3.851,2.026,0.593,0.074,0.198,0.42,0.272,0.272
155001017,0.229,0.222,0.0,0.0,0.0,0.0,0.0,0.0
155001018,2.286,1.656,0.321,0.198,0.074,0.0,0.0,0.0
155001021,5.55,5.412,0.173,0.0,0.0,0.0,0.0,0.0
155001023,0.449,0.42,0.0,0.0,0.0,0.0,0.0,0.0
155001024,3.647,2.916,0.346,0.321,0.074,0.0,0.0,0.0
155001026,1.007,0.939,0.074,0.0,0.0,0.0,0.0,0.0
155001028,4.004,3.632,0.272,0.0,0.0,0.0,0.0,0.0
155001031,0.364,0.321,0.0,0.0,0.0,0.0,0.0,0.0
155001033,2.022,1.977,0.0,0.0,0.0,0.0,0.0,0.0
155001037,0.259,0.272,0.0,0.0,0.0,0.0,0.0,0.0
155001042,0.4,0.42,0.0,0.0,0.0,0.0,0.0,0.0
155001043,0.686,0.618,0.0,0.0,0.0,0.0,0.0,0.0
155001044,0.566,0.568,0.0,0.0,0.0,0.0,0.0,0.0
155001046,4.102,3.657,0.321,0.099,0.0,0.0,0.0,0.0
155001057,1.641,1.112,0.519,0.074,0.0,0.0,0.0,0.0
155001058,0.774,0.049,0.074,0.222,0.247,0.099,0.099,0.0
155001059,0.457,0.47,0.0,0.0,0.0,0.0,0.0,0.0
155001060,1.199,1.137,0.025,0.0,0.0,0.0,0.0,0.0
155001062,0.176,0.198,0.0,0.0,0.0,0.0,0.0,0.0
155001066,0.425,0.445,0.0,0.0,0.0,0.0,0.0,0.0
155001068,0.212,0.222,0.0,0.0,0.0,0.0,0.0,0.0
155001069,0.214,0.198,0.0,0.0,0.0,0.0,0.0,0.0
155001070,0.212,0.222,0.0,0.0,0.0,0.0,0.0,0.0
155001071,0.212,0.222,0.0,0.0,0.0,0.0,0.0,0.0
155001072,0.208,0.198,0.0,0.0,0.0,0.0,0.0,0.0
155001073,0.123,0.074,0.0,0.0,0.0,0.0,0.0,0.0
155001074,0.764,0.074,0.321,0.148,0.049,0.148,0.0,0.0
155001078,0.05,0.049,0.0,0.0,0.0,0.0,0.0,0.0
155001084,0.566,0.321,0.272,0.0,0.0,0.0,0.0,0.0
155002035,0.06,0.074,0.025,0.0,0.0,0.0,0.0,0.0
155002036,0.118,0.099,0.0,0.0,0.0,0.0,0.0,0.0
155002037,0.868,0.717,0.099,0.0,0.0,0.0,0.0,0.0
155002075,0.112,0.099,0.0,0.0,0.0,0.0,0.0,0.0
155002088,0.863,0.099,0.494,0.124,0.124,0.0,0.0,0.0
155002091,0.138,0.074,0.025,0.0,0.0,0.0,0.0,0.0
155002092,0.216,0.124,0.148,0.0,0.0,0.0,0.0,0.0
155002093,0.179,0.148,0.0,0.0,0.0,0.0,0.0,0.0
155004004,0.281,0.0,0.0,0.0,0.0,0.0,0.0,0.247
155004014,7.637,2.99,3.435,1.161,0.025,0.0,0.0,0.0
155004018,20.397,3.361,3.904,3.88,3.089,1.779,1.705,2.693
155004019,84.414,41.514,13.566,8.797,6.647,4.819,4.25,4.794
155005001,67.024,23.253,13.937,8.13,5.066,3.064,2.249,11.49
155005002,0.643,0.0,0.568,0.025,0.0,0.0,0.0,0.0
155005003,0.631,0.593,0.049,0.0,0.0,0.0,0.0,0.0
155005004,0.346,0.099,0.049,0.0,0.099,0.025,0.074,0.025
155005005,0.241,0.0,0.0,0.025,0.074,0.074,0.049,0.0
155005007,0.51,0.198,0.074,0.049,0.049,0.025,0.0,0.099
155005011,0.288,0.173,0.099,0.0,0.0,0.0,0.0,0.0
155005013,0.252,0.247,0.0,0.0,0.0,0.0,0.0,0.0
155005018,1.31,0.914,0.346,0.025,0.0,0.0,0.0,0.0
155005020,9.848,0.321,1.112,1.68,2.026,1.507,1.483,1.656
155005021,33.189,14.233,8.97,3.459,2.496,1.804,0.89,1.384
155005022,17.171,10.971,4.596,1.458,0.173,0.025,0.0,0.0
155005024,13.261,6.153,2.52,1.581,1.038,0.321,0.395,1.236
155005025,10.973,9.316,0.593,0.148,0.074,0.074,0.049,0.667
155005999,0.251,0.124,0.025,0.025,0.074,0.0,0.0,0.0
155006001,270.233,116.263,52.362,34.743,24.958,15.37,8.673,18.014
155006005,203.726,155.751,22.116,12.207,6.919,4.077,1.409,1.409
155006010,9.377,2.941,3.484,1.631,0.89,0.568,0.049,0.0
155006011,49.695,12.256,3.805,8.352,9.365,5.906,3.385,6.622
155006030,18.549,17.742,0.84,0.0,0.0,0.0,0.0,0.0
155006032,1.459,1.112,0.321,0.0,0.0,0.0,0.0,0.0
155006033,8.918,2.496,2.99,2.249,0.865,0.148,0.124,0.0
155006036,0.297,0.247,0.049,0.0,0.0,0.0,0.0,0.0
155007001,2229.32,25.032,77.344,120.76,150.685,173.987,190.765,1490.811
155007002,2530.617,5.436,22.091,37.239,51.793,67.756,84.757,2261.78
155008001,18.13,15.839,1.236,0.642,0.173,0.0,0.0,0.0
155008002,0.109,0.025,0.049,0.025,0.0,0.025,0.0,0.0
155008003,0.123,0.0,0.074,0.025,0.0,0.0,0.0,0.0
155008004,0.078,0.074,0.0,0.0,0.0,0.0,0.0,0.0
155008005,0.093,0.049,0.0,0.0,0.0,0.0,0.0,0.0
155008006,0.084,0.074,0.025,0.0,0.0,0.0,0.0,0.0
155008007,0.518,0.47,0.099,0.0,0.0,0.0,0.0,0.0
