tmk,parcel_acres,a_acres,b_acres,c_acres,d_acres,e_acres,s0_eligible_acres,s3_eligible_acres,dist_46kv_km,dist_138kv_km
151009005,0.058,0.0,0.0,0.0,0.0,0.045,0.0,0.0,13.169,13.169
151009006,0.251,0.0,0.0,0.0,0.0,0.133,0.0,0.0,13.197,13.197
151009008,1.152,0.0,0.0,0.0,0.0,0.139,0.0,0.0,13.182,13.182
151009039,0.167,0.0,0.0,0.0,0.0,0.124,0.0,0.0,13.247,13.247
151009041,0.331,0.0,0.0,0.0,0.0,0.004,0.0,0.0,13.252,13.252
151010001,0.55,0.0,0.0,0.0,0.0,0.011,0.0,0.0,13.963,13.963
151010032,1.788,0.0,0.0,0.028,0.0,0.0,0.028,0.028,14.001,14.001
151010033,0.277,0.0,0.0,0.002,0.0,0.0,0.002,0.002,14.276,14.276
151010034,0.276,0.0,0.0,0.008,0.0,0.0,0.008,0.008,14.25,14.25
151010035,0.274,0.0,0.0,0.015,0.0,0.0,0.015,0.015,14.225,14.225
151010036,0.268,0.0,0.0,0.02,0.0,0.0,0.02,0.02,14.201,14.201
151010037,0.27,0.0,0.0,0.026,0.0,0.0,0.026,0.026,14.176,14.176
151010038,0.278,0.0,0.0,0.034,0.0,0.0,0.028,0.034,14.15,14.15
151010039,0.271,0.0,0.0,0.041,0.0,0.0,0.027,0.041,14.125,14.125
151010040,0.267,0.0,0.0,0.047,0.0,0.0,0.027,0.047,14.101,14.101
151010041,0.268,0.0,0.0,0.053,0.0,0.0,0.027,0.053,14.076,14.076
151010042,0.323,0.0,0.0,0.076,0.0,0.0,0.032,0.065,14.035,14.035
151010043,0.331,0.0,0.0,0.088,0.0,0.0,0.033,0.066,14.003,14.003
151013001,1.441,0.0,0.013,0.0,0.0,0.0,0.013,0.013,12.348,12.348
151013003,0.37,0.0,0.036,0.0,0.0,0.0,0.036,0.036,12.482,12.482
151013004,0.34,0.0,0.017,0.0,0.0,0.0,0.017,0.017,12.518,12.518
151013005,0.321,0.0,0.015,0.0,0.0,0.0,0.015,0.015,12.547,12.547
151013006,0.302,0.0,0.002,0.0,0.0,0.0,0.002,0.002,12.576,12.576
151013009,0.276,0.0,0.031,0.0,0.0,0.0,0.028,0.031,12.654,12.654
153014036,0.2,0.0,0.108,0.0,0.0,0.0,0.02,0.04,9.406,15.112
153014056,0.243,0.0,0.163,0.0,0.0,0.0,0.024,0.049,9.302,15.178
153015009,1.02,0.0,0.014,0.0,0.0,0.0,0.014,0.014,9.283,15.023
153015016,1.009,0.0,0.007,0.0,0.0,0.0,0.007,0.007,9.373,14.688
153015017,1.008,0.0,0.094,0.0,0.0,0.0,0.094,0.094,9.384,14.636
153015018,1.0,0.0,0.099,0.0,0.0,0.0,0.099,0.099,9.384,14.596
153015019,1.042,0.0,0.002,0.0,0.0,0.0,0.002,0.002,9.38,14.564
153016002,10.437,0.0,3.585,0.0,0.0,0.0,1.044,2.087,8.868,15.085
153016030,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.226,15.228
153016031,0.21,0.0,0.005,0.0,0.0,0.0,0.005,0.005,9.246,15.227
153016032,0.208,0.0,0.014,0.0,0.0,0.0,0.014,0.014,9.266,15.226
154004002,18.598,0.0,0.0,0.0,0.0,0.007,0.0,0.0,7.389,15.443
154004003,76.966,0.0,0.0,0.0,1.884,6.757,0.0,0.0,7.177,14.416
155004004,0.281,0.0,0.0,0.0,0.251,0.03,0.0,0.0,3.478,18.528
154004004,138.763,0.0,0.0,0.0,0.0,0.007,0.0,0.0,6.902,14.434
154004020,7.338,0.0,0.0,0.0,0.351,6.871,0.0,0.0,7.16,15.695
154004021,12.778,0.0,0.0,0.334,0.163,0.0,0.334,0.334,6.788,16.025
154004024,1.141,0.0,0.0,0.0,0.0,0.025,0.0,0.0,7.131,15.713
154005001,151.67,0.0,0.0,0.0,0.0,0.053,0.0,0.0,8.107,14.107
154005011,5.152,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.002,14.692
154006001,2086.209,0.0,0.0,0.0,0.0,0.009,0.0,0.0,8.282,9.484
156004028,0.168,0.0,0.168,0.0,0.0,0.0,0.017,0.034,0.593,22.602
154011004,0.446,0.0,0.0,0.0,0.0,0.006,0.0,0.0,7.451,15.934
154011042,0.848,0.0,0.0,0.0,0.0,0.001,0.0,0.0,7.473,15.93
156004029,1.188,0.0,1.188,0.0,0.0,0.0,0.119,0.238,0.602,22.604
156004032,0.113,0.0,0.113,0.0,0.0,0.0,0.011,0.023,0.683,22.648
155004014,7.637,0.0,0.006,0.0,0.008,0.0,0.006,0.006,3.555,18.468
156004037,0.786,0.0,0.786,0.0,0.0,0.0,0.079,0.157,0.66,22.558
156004038,1.875,0.0,1.875,0.0,0.0,0.0,0.188,0.375,0.401,22.501
155017026,0.325,0.0,0.0,0.0,0.0,0.168,0.0,0.0,3.216,19.069
155017034,0.297,0.0,0.0,0.0,0.0,0.165,0.0,0.0,3.206,19.05
155017035,0.053,0.0,0.0,0.0,0.0,0.028,0.0,0.0,3.203,19.046
155017036,0.227,0.0,0.0,0.0,0.0,0.113,0.0,0.0,3.201,19.033
155017037,0.252,0.0,0.0,0.0,0.0,0.102,0.0,0.0,3.197,19.016
156002026,10.692,0.0,10.675,0.0,0.0,0.0,1.069,2.138,0.023,21.295
155017038,0.297,0.0,0.0,0.0,0.0,0.018,0.0,0.0,3.2,18.985
156001004,74.103,0.0,13.313,33.348,0.0,0.0,7.41,14.821,2.074,19.295
156001025,0.429,0.0,0.0,0.003,0.0,0.0,0.003,0.003,0.851,20.77
156001026,1.156,0.0,0.0,0.001,0.0,0.0,0.001,0.001,2.348,19.967
156003004,0.249,0.0,0.0,0.0,0.0,0.249,0.0,0.0,0.767,22.82
156001054,0.206,0.0,0.0,0.077,0.0,0.0,0.021,0.041,1.2,20.666
156001066,1.199,0.0,0.0,0.008,0.0,0.0,0.008,0.008,2.054,19.952
156001068,1.267,0.0,0.0,0.012,0.0,0.0,0.012,0.012,1.304,20.629
156001069,1.243,0.0,0.0,0.007,0.0,0.0,0.007,0.007,1.342,20.596
156001070,1.269,0.0,0.0,0.013,0.0,0.0,0.013,0.013,1.377,20.561
156001071,1.079,0.0,0.0,0.022,0.0,0.0,0.022,0.022,1.415,20.532
156001072,1.062,0.0,0.0,0.02,0.0,0.0,0.02,0.02,1.448,20.503
156001073,1.006,0.0,0.0,0.01,0.0,0.0,0.01,0.01,1.483,20.475
156001074,0.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.517,20.451
156001078,0.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.649,20.345
156001079,0.743,0.0,0.0,0.001,0.0,0.0,0.001,0.001,1.678,20.322
156001080,0.753,0.0,0.0,0.001,0.0,0.0,0.001,0.001,1.708,20.298
156001081,0.805,0.0,0.0,0.001,0.0,0.0,0.001,0.001,1.737,20.273
156001083,0.853,0.0,0.0,0.002,0.0,0.0,0.002,0.002,1.802,20.224
156001084,0.443,0.0,0.0,0.002,0.0,0.0,0.002,0.002,1.834,20.211
156001085,0.461,0.0,0.0,0.002,0.0,0.0,0.002,0.002,1.851,20.199
156001086,0.966,0.0,0.0,0.003,0.0,0.0,0.003,0.003,1.867,20.176
156001087,1.132,0.0,0.0,0.006,0.0,0.0,0.006,0.006,1.9,20.148
156001088,1.227,0.0,0.0,0.006,0.0,0.0,0.006,0.006,1.94,20.118
156001090,1.505,0.0,0.0,0.002,0.0,0.0,0.002,0.002,2.015,20.065
156002001,66.156,16.167,49.989,0.0,0.0,0.0,6.616,13.231,0.06,21.454
156002002,0.453,0.105,0.348,0.0,0.0,0.0,0.045,0.091,0.577,21.896
156002003,2.852,0.0,0.0,0.0,0.0,2.852,0.0,0.0,1.13,22.523
156002005,0.242,0.008,0.234,0.0,0.0,0.0,0.024,0.048,0.578,21.903
156002006,0.249,0.0,0.249,0.0,0.0,0.0,0.025,0.05,0.751,22.157
156002007,0.232,0.0,0.232,0.0,0.0,0.0,0.023,0.046,1.171,22.549
156002008,0.237,0.0,0.237,0.0,0.0,0.0,0.024,0.047,1.143,22.594
156002009,302.695,0.0,0.0,0.0,0.0,253.133,0.0,0.0,1.09,22.535
156002011,21.003,0.0,0.05,0.0,0.0,0.0,0.05,0.05,0.098,21.321
156003005,0.57,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.747,22.846
156002015,10.774,0.0,0.03,0.0,0.0,0.0,0.03,0.03,0.328,21.567
156002019,283.764,39.755,168.642,0.0,0.0,75.367,20.0,56.753,0.255,21.747
156002020,78.855,0.0,76.453,0.0,0.0,2.401,7.885,15.771,0.384,21.754
156002022,38.027,0.0,32.2,0.0,0.0,5.827,3.803,7.605,0.814,22.08
156002024,2.483,0.0,2.483,0.0,0.0,0.0,0.248,0.497,0.399,21.768
156002025,20.984,0.0,0.085,0.0,0.0,0.0,0.085,0.085,0.02,21.248
156002032,0.231,0.0,0.004,0.0,0.0,0.0,0.004,0.004,0.311,21.569
156002042,0.087,0.0,0.056,0.0,0.0,0.031,0.009,0.017,0.742,22.694
156002043,0.731,0.0,0.731,0.0,0.0,0.0,0.073,0.146,0.723,22.561
156002044,0.123,0.0,0.123,0.0,0.0,0.0,0.012,0.025,0.333,22.309
156002050,113.192,0.0,77.337,0.0,0.0,27.782,11.319,22.638,0.023,21.348
156003006,0.237,0.237,0.0,0.0,0.0,0.0,0.0,0.0,0.485,22.131
156003007,0.133,0.0,0.007,0.0,0.0,0.0,0.007,0.007,0.283,22.668
156003009,73.696,0.994,13.587,0.0,0.0,59.115,7.37,13.587,0.341,22.473
156003011,0.163,0.0,0.0,0.0,0.0,0.163,0.0,0.0,1.13,23.335
156003016,0.274,0.0,0.0,0.0,0.0,0.185,0.0,0.0,1.554,23.831
156003019,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.773,23.832
156002055,118.904,0.0,24.295,0.0,0.0,0.024,11.89,23.781,0.251,21.284
156003002,0.151,0.0,0.051,0.0,0.0,0.0,0.015,0.03,0.249,22.635
156003003,0.015,0.0,0.015,0.0,0.0,0.0,0.002,0.003,0.263,22.664
156003020,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.718,23.772
156003021,0.249,0.0,0.0,0.0,0.0,0.249,0.0,0.0,1.587,23.689
156003022,0.25,0.0,0.0,0.0,0.0,0.056,0.0,0.0,1.618,23.707
156003023,0.544,0.0,0.0,0.0,0.0,0.544,0.0,0.0,1.508,23.633
156003024,0.399,0.0,0.0,0.0,0.0,0.399,0.0,0.0,1.493,23.571
156003025,8.524,0.0,0.0,0.0,0.0,8.524,0.0,0.0,1.211,23.345
156003026,164.271,0.0,0.0,0.0,0.0,138.191,0.0,0.0,1.008,23.108
156003027,1.588,0.0,0.0,0.0,0.0,1.588,0.0,0.0,1.141,23.311
156003028,1.296,0.0,0.0,0.0,0.0,1.296,0.0,0.0,1.189,23.365
156003029,0.249,0.0,0.0,0.0,0.0,0.249,0.0,0.0,1.575,23.706
156003030,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.609,23.727
156003035,2.361,0.0,0.0,0.0,0.0,2.361,0.0,0.0,1.078,22.858
156003036,1.481,0.0,0.957,0.0,0.0,0.0,0.148,0.296,0.247,22.629
156003046,2.182,0.0,0.0,0.0,0.0,2.182,0.0,0.0,0.996,23.096
156003047,9.534,0.0,0.0,0.0,0.0,9.534,0.0,0.0,1.169,23.321
156003048,0.018,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.995,23.214
156003049,1.404,0.179,0.22,0.0,0.0,0.103,0.14,0.22,0.183,22.407
156003050,7.259,4.418,1.118,0.0,0.0,1.533,0.726,1.118,0.178,22.344
156003051,15.771,14.277,1.495,0.0,0.0,0.0,1.495,1.495,0.176,22.303
156003052,12.975,2.164,0.0,0.0,0.0,10.812,0.0,0.0,0.647,22.861
156003053,92.401,0.0,0.0,2.355,0.0,58.341,2.355,2.355,1.007,23.226
156003054,37.132,0.0,0.027,0.0,0.0,0.285,0.027,0.027,0.184,22.409
156003056,29.257,0.0,0.0,0.0,0.0,0.026,0.0,0.0,1.166,23.433
156003057,3.784,0.0,0.0,0.0,0.0,2.815,0.0,0.0,1.426,23.749
156003058,12.013,0.0,0.0,0.0,0.0,0.01,0.0,0.0,1.003,23.225
156003059,75.161,0.0,0.0,0.0,0.0,4.861,0.0,0.0,0.654,22.926
156003060,99.854,0.0,0.0,0.0,0.0,52.858,0.0,0.0,0.444,22.84
156004034,1.305,0.0,1.305,0.0,0.0,0.0,0.131,0.261,0.702,22.588
156004036,0.311,0.0,0.311,0.0,0.0,0.0,0.031,0.062,0.708,22.588
156003062,158.088,0.0,0.014,0.0,0.0,0.66,0.014,0.014,0.184,22.456
156004001,1.669,0.986,0.0,0.0,0.0,0.683,0.0,0.0,0.433,22.175
156004002,5.879,0.272,5.607,0.0,0.0,0.0,0.588,1.176,0.4,22.288
156004003,0.392,0.0,0.392,0.0,0.0,0.0,0.039,0.078,0.485,22.334
156004006,0.174,0.0,0.174,0.0,0.0,0.0,0.017,0.035,0.533,22.406
156004007,7.645,0.0,7.645,0.0,0.0,0.0,0.764,1.529,0.374,22.339
156004008,0.495,0.0,0.495,0.0,0.0,0.0,0.049,0.099,0.404,22.354
156004009,2.486,0.0,2.486,0.0,0.0,0.0,0.249,0.497,0.312,22.313
156004011,13.074,1.306,11.768,0.0,0.0,0.0,1.307,2.615,0.204,22.28
156004012,0.221,0.0,0.221,0.0,0.0,0.0,0.022,0.044,0.433,22.466
156004014,0.356,0.0,0.356,0.0,0.0,0.0,0.036,0.071,0.306,22.454
156004015,3.773,0.0,3.773,0.0,0.0,0.0,0.377,0.755,0.293,22.446
156004016,0.878,0.1,0.779,0.0,0.0,0.0,0.088,0.176,0.362,22.547
156004017,0.255,0.0,0.153,0.0,0.0,0.103,0.026,0.051,0.518,22.682
156004018,0.177,0.0,0.177,0.0,0.0,0.0,0.018,0.035,0.457,22.585
156004019,0.903,0.0,0.85,0.0,0.0,0.053,0.09,0.181,0.491,22.623
156004020,1.616,0.0,1.513,0.0,0.0,0.103,0.162,0.323,0.508,22.615
156004021,1.332,0.0,0.16,0.0,0.0,1.172,0.133,0.16,0.502,22.614
156004022,0.441,0.0,0.0,0.0,0.0,0.441,0.0,0.0,0.626,22.754
156004023,0.597,0.0,0.597,0.0,0.0,0.0,0.06,0.119,0.536,22.596
156004024,2.097,0.0,2.037,0.0,0.0,0.061,0.21,0.419,0.508,22.497
156004025,2.471,0.0,2.471,0.0,0.0,0.0,0.247,0.494,0.466,22.484
156004027,4.723,0.0,4.336,0.0,0.0,0.387,0.472,0.945,0.53,22.486
156004039,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.518,22.209
156004042,0.065,0.0,0.065,0.0,0.0,0.0,0.006,0.013,0.583,22.569
155004018,20.397,0.0,5.44,0.19,7.125,4.809,2.04,4.079,3.36,18.226
156004043,0.145,0.0,0.145,0.0,0.0,0.0,0.014,0.029,0.628,22.616
155004019,84.414,0.0,34.033,15.395,24.096,10.225,8.441,16.883,3.327,17.723
156004044,1.511,0.0,1.511,0.0,0.0,0.0,0.151,0.302,0.756,22.624
155005018,1.31,0.0,0.0,0.0,0.0,0.634,0.0,0.0,3.128,19.016
156004045,0.661,0.0,0.661,0.0,0.0,0.0,0.066,0.132,0.484,22.399
155005001,67.024,0.0,42.777,4.603,3.291,16.038,6.702,13.405,2.756,17.715
156004046,1.535,0.0,1.535,0.0,0.0,0.0,0.153,0.307,0.543,22.35
155005002,0.643,0.0,0.033,0.0,0.0,0.611,0.033,0.033,4.227,18.0
156005002,27.289,0.0,13.034,5.194,0.0,9.061,2.729,5.458,0.213,21.523
155005003,0.631,0.0,0.002,0.02,0.0,0.0,0.022,0.022,4.164,18.14
156005003,1.785,0.0,0.0,0.0,0.0,0.427,0.0,0.0,0.251,21.995
155005004,0.346,0.0,0.346,0.0,0.0,0.0,0.035,0.069,2.926,18.582
156005004,21.296,0.0,0.0,0.019,0.0,20.81,0.019,0.019,0.019,21.959
155005005,0.241,0.0,0.185,0.0,0.0,0.056,0.024,0.048,2.87,18.621
156005005,35.795,0.025,0.0,0.0,0.0,29.387,0.0,0.0,0.0,21.793
155005007,0.51,0.0,0.0,0.402,0.0,0.108,0.051,0.102,3.049,18.609
156005006,1.105,1.105,0.0,0.0,0.0,0.0,0.0,0.0,0.102,22.153
155005011,0.288,0.0,0.288,0.0,0.0,0.0,0.029,0.058,2.916,19.012
156005015,28.704,0.0,0.0,0.0,0.0,28.704,0.0,0.0,0.028,21.894
155005013,0.252,0.0,0.0,0.0,0.0,0.016,0.0,0.0,4.233,18.095
156005017,0.206,0.0,0.206,0.0,0.0,0.0,0.021,0.041,0.005,21.397
156005007,507.353,1.535,309.404,37.221,34.469,121.115,20.0,101.471,0.0,20.295
156005008,35.08,0.0,7.022,19.132,0.876,8.05,3.508,7.016,0.886,20.481
156005010,6.523,0.0,0.0,0.032,0.0,2.266,0.032,0.032,0.139,21.987
156005014,70.099,0.0,48.851,13.025,1.014,7.208,7.01,14.02,0.765,20.727
156005018,226.237,170.961,47.178,0.16,0.0,7.875,20.0,45.247,0.0,20.856
